,shot_x,shot_y,dut,r,c,cap,D,x,y,Voltage,Current
179,0,3,POC22_Main_762_99F,1,1,+3.57371E-10,+2.39118E-02,146,91,100.00000398366488,1.7333087866449294e-10
180,0,4,POC22_Main_381_77F,1,1,+5.41350E-11,+7.55776E-03,146,63,99.99997617160784,-2.6962859746682138e-11
181,0,4,POC22_Main_508_44,1,1,+3.56759E-11,+7.11185E-03,146,83,100.00003179572194,2.3941213990368942e-11
182,0,4,POC22_Main_508_47,1,1,+5.73506E-11,+9.19127E-03,146,89,99.9999947129792,4.632772228040704e-12
183,0,4,POC22_Main_508_88F,1,1,+1.24999E-10,+3.14035E-02,146,71,99.99998544229352,-4.394551193311044e-12
184,0,4,POC22_Main_762_77,1,1,+2.24091E-10,+2.09754E-02,146,61,100.00003179572194,-3.12884522194105e-11
185,0,4,POC22_Main_762_99F,1,1,-1.41811E-10,+9.40154E+00,146,55,0.6524158949718668,1.0000032502848192e-06
186,1,-1,POC22_Main_381_77F,1,1,+5.37206E-11,+1.07586E-02,195,243,99.99998544229352,1.3973544379297809e-11
187,1,-1,POC22_Main_508_44,1,1,+3.58728E-11,+7.88254E-03,195,263,100.00001325435056,-1.0663525791467844e-11
188,1,-1,POC22_Main_508_47,1,1,+5.76545E-11,+9.02472E-03,195,269,99.99994835955076,3.817805530277508e-12
189,1,-1,POC22_Main_508_88F,1,1,+1.24736E-10,+2.26733E-02,195,251,100.00000398366488,1.0907388903336507e-10
190,1,-1,POC22_Main_762_77,1,1,+2.23645E-10,+2.60692E-02,195,241,99.99996690092212,4.270732676021048e-09
191,1,-1,POC22_Main_762_99F,1,1,+3.60752E-10,+5.41570E-02,195,235,100.00002252503624,5.56982657920163e-08
192,1,-2,POC22_Main_381_77F,1,1,+5.36476E-11,+1.39894E-02,195,279,100.00002252503624,4.25663375214898e-12
193,1,-2,POC22_Main_508_44,1,1,+3.57048E-11,+7.94146E-03,195,299,100.00000398366488,-1.4362220804382175e-11
194,1,-2,POC22_Main_508_47,1,1,+5.72004E-11,+1.06958E-02,195,305,100.00001325435056,-3.2855695868950526e-11
