,shot_x,shot_y,dut,r,c,cap,D,Voltage,Current
365,2,-3,POC22_Main_508_88F,1,3,1.23E-10,2.28E-02,100.0000225,8.90E-11
366,2,-3,POC22_Main_508_88F,1,4,1.23E-10,2.29E-02,99.99999471,1.59E-10
367,2,-3,POC22_Main_762_77,1,1,2.19E-10,2.80E-02,100.0000133,2.82E-10
368,2,-3,POC22_Main_762_99F,1,1,3.54E-10,5.18E-02,100.0000318,3.41E-09
369,2,0,POC22_Main_381_77F,1,1,5.37E-11,1.15E-02,100.0000133,-1.90E-11
370,2,0,POC22_Main_508_44,1,1,3.57E-11,7.13E-03,99.99997617,7.20E-12
371,2,0,POC22_Main_508_47,1,1,5.74E-11,9.09E-03,99.99998544,1.75E-11
372,2,0,POC22_Main_508_88F,1,1,1.32E-10,1.41E-02,100.000004,1.91E-11
373,2,0,POC22_Main_508_88F,1,2,1.31E-10,1.63E-02,99.99998544,3.16E-10
374,2,0,POC22_Main_508_88F,1,3,1.31E-10,1.55E-02,100.0000225,1.59E-10
375,2,0,POC22_Main_508_88F,1,4,1.31E-10,1.57E-02,100.0000225,2.81E-10
376,2,0,POC22_Main_762_77,1,1,2.22E-10,4.42E-02,99.99997617,1.39E-09
377,2,0,POC22_Main_762_99F,1,1,3.60E-10,4.99E-02,100.0000133,1.95E-08
378,2,1,POC22_Main_381_77F,1,1,5.35E-11,1.19E-02,99.99999471,6.20E-12
379,2,1,POC22_Main_508_44,1,1,3.57E-11,9.01E-03,99.99998544,-1.59E-11
380,2,1,POC22_Main_508_47,1,1,5.76E-11,1.29E-02,100.0000133,-3.77E-12
381,2,1,POC22_Main_508_88F,1,1,1.31E-10,1.55E-02,100.0000133,-1.95E-12
382,2,1,POC22_Main_508_88F,1,2,1.31E-10,1.51E-02,99.99999471,2.29E-10
383,2,1,POC22_Main_508_88F,1,3,1.31E-10,1.58E-02,100.0000133,1.21E-10
384,2,1,POC22_Main_508_88F,1,4,1.31E-10,1.42E-02,99.9999669,2.05E-10
385,2,1,POC22_Main_762_77,1,1,2.22E-10,3.83E-02,100.0000318,5.05E-10
386,2,1,POC22_Main_762_99F,1,1,3.62E-10,4.92E-02,99.99999471,6.18E-09
387,2,2,POC22_Main_381_77F,1,1,5.36E-11,1.01E-02,100.0000318,-2.84E-11
388,2,2,POC22_Main_508_44,1,1,3.57E-11,1.00E-02,100.000004,1.28E-11
389,2,2,POC22_Main_508_47,1,1,5.75E-11,1.03E-02,100.0000225,-2.18E-11
390,2,2,POC22_Main_508_88F,1,1,1.31E-10,1.52E-02,99.99999471,2.97E-11
391,2,2,POC22_Main_508_88F,1,2,1.31E-10,1.61E-02,100.000004,1.29E-10
392,2,2,POC22_Main_508_88F,1,3,1.31E-10,1.71E-02,99.99997617,1.03E-10
393,2,2,POC22_Main_508_88F,1,4,1.31E-10,1.54E-02,100.000004,1.55E-10
394,2,2,POC22_Main_762_77,1,1,2.23E-10,3.74E-02,100.0000225,1.74E-10
395,2,2,POC22_Main_762_99F,1,1,3.64E-10,7.04E-02,99.99999471,1.95E-09
396,2,3,POC22_Main_381_77F,1,1,5.38E-11,1.12E-02,100.0000225,7.46E-13
397,2,3,POC22_Main_508_44,1,1,3.57E-11,8.39E-03,100.000004,6.14E-12
398,2,3,POC22_Main_508_47,1,1,5.76E-11,1.25E-02,100.0000411,-1.79E-11
399,2,3,POC22_Main_508_88F,1,1,1.31E-10,1.42E-02,100.0000503,-2.52E-11
400,2,3,POC22_Main_508_88F,1,2,1.31E-10,1.51E-02,99.99995763,1.83E-10
401,2,3,POC22_Main_508_88F,1,3,1.31E-10,1.41E-02,99.99999471,6.85E-11
402,2,3,POC22_Main_508_88F,1,4,1.31E-10,1.41E-02,99.99998544,1.75E-10
403,2,3,POC22_Main_762_77,1,1,2.25E-10,2.99E-02,100.000004,8.33E-11
404,2,3,POC22_Main_762_99F,1,1,3.69E-10,6.98E-02,99.99999471,1.07E-09
405,3,-1,POC22_Main_381_77F,1,1,5.29E-11,1.25E-02,99.99998544,-1.13E-12
406,3,-1,POC22_Main_508_44,1,1,3.54E-11,8.84E-03,99.9999669,3.57E-12
407,3,-1,POC22_Main_508_47,1,1,5.71E-11,9.31E-03,100.000004,-1.07E-11
408,3,-1,POC22_Main_508_88F,1,1,1.30E-10,1.42E-02,100.0000318,5.59E-11
409,3,-1,POC22_Main_508_88F,1,2,1.30E-10,1.43E-02,100.000004,1.42E-10
410,3,-1,POC22_Main_508_88F,1,3,1.30E-10,1.44E-02,100.0000318,1.39E-10
411,3,-1,POC22_Main_508_88F,1,4,1.30E-10,1.46E-02,100.0000411,1.44E-09
412,3,-1,POC22_Main_762_77,1,1,2.19E-10,3.41E-02,99.99999471,1.52E-10
413,3,-1,POC22_Main_762_99F,1,1,3.55E-10,4.74E-02,99.99999471,3.57E-09
414,3,-2,POC22_Main_381_77F,1,1,5.30E-11,9.85E-03,99.99999471,1.90E-11
415,3,-2,POC22_Main_508_44,1,1,3.53E-11,8.41E-03,100.0000133,-6.90E-14
416,3,-2,POC22_Main_508_47,1,1,5.70E-11,1.07E-02,100.0000133,-2.28E-11
417,3,-2,POC22_Main_508_88F,1,1,1.30E-10,1.46E-02,100.0000133,6.36E-11
418,3,-2,POC22_Main_508_88F,1,2,1.30E-10,1.69E-02,99.99997617,1.77E-10
419,3,-2,POC22_Main_508_88F,1,3,1.30E-10,1.42E-02,99.99997617,1.25E-10
420,3,-2,POC22_Main_508_88F,1,4,1.30E-10,1.43E-02,100.0000225,1.28E-10
421,3,-2,POC22_Main_762_77,1,1,2.19E-10,2.14E-02,100.0000133,1.75E-10
422,3,-2,POC22_Main_762_99F,1,1,3.56E-10,3.85E-02,99.99999471,2.30E-09
423,3,0,POC22_Main_381_77F,1,1,5.29E-11,5.59E-02,99.99998544,1.84E-11
424,3,0,POC22_Main_508_44,1,1,3.53E-11,8.94E-03,99.99998544,-1.42E-11
425,3,0,POC22_Main_508_47,1,1,5.70E-11,1.06E-02,100.0000503,2.00E-12
426,3,0,POC22_Main_508_88F,1,1,1.30E-10,1.41E-02,100.0000318,1.36E-11
427,3,0,POC22_Main_508_88F,1,2,1.30E-10,1.50E-02,100.0000133,2.27E-10
428,3,0,POC22_Main_508_88F,1,3,1.30E-10,1.37E-02,99.99998544,1.50E-10
429,3,0,POC22_Main_508_88F,1,4,1.29E-10,1.46E-02,99.99998544,1.98E-10
430,3,0,POC22_Main_762_77,1,1,2.20E-10,4.77E-02,99.99997617,2.21E-10
431,3,0,POC22_Main_762_99F,1,1,3.56E-10,3.84E-02,100.000004,2.98E-09
432,3,1,POC22_Main_381_77F,1,1,5.31E-11,1.43E-02,99.99999471,4.32E-12
433,3,1,POC22_Main_508_44,1,1,3.54E-11,8.61E-03,99.99997617,-1.69E-11
434,3,1,POC22_Main_508_47,1,1,5.71E-11,9.60E-03,99.99999471,4.95E-13
435,3,1,POC22_Main_508_88F,1,1,1.30E-10,1.59E-02,99.99999471,-1.10E-11
436,3,1,POC22_Main_508_88F,1,2,1.30E-10,1.55E-02,100.0000133,1.50E-10
437,3,1,POC22_Main_508_88F,1,3,1.30E-10,1.58E-02,99.99999471,1.17E-10
