prefix,cap,D
1_2_POC22_Main_508_44_1_1,+3.55659E-11,+9.27662E-03
1_2_POC22_Main_508_47_1_1,+5.74543E-11,+1.10849E-02
1_2_POC22_Main_508_88F_1_1,+1.24585E-10,+1.65764E-02
1_2_POC22_Main_762_77_1_1,+2.22167E-10,+2.34022E-02
1_2_POC22_Main_762_99F_1_1,+3.61259E-10,+4.37213E-02
1_3_POC22_Main_381_77F_1_1,+5.33491E-11,+1.09558E-02
1_3_POC22_Main_508_44_1_1,+3.56690E-11,+9.64538E-03
1_3_POC22_Main_508_47_1_1,+5.74479E-11,+1.10348E-02
1_3_POC22_Main_508_88F_1_1,+1.24393E-10,+1.96179E-02
1_3_POC22_Main_762_77_1_1,+2.21684E-10,+2.54212E-02
1_3_POC22_Main_762_99F_1_1,+3.59134E-10,+4.68634E-02
2_-1_POC22_Main_381_77F_1_1,+5.35649E-11,+9.45175E-03
2_-1_POC22_Main_508_44_1_1,+3.56839E-11,+9.09986E-03
2_-1_POC22_Main_508_47_1_1,+5.74906E-11,+9.67794E-03
2_-1_POC22_Main_508_88F_1_1,+1.24577E-10,+1.54359E-02
2_-1_POC22_Main_762_77_1_1,+2.21909E-10,+2.86643E-02
2_-1_POC22_Main_762_99F_1_1,+3.58037E-10,+4.04849E-02
2_-2_POC22_Main_381_77F_1_1,+5.32311E-11,+1.17071E-02
2_-2_POC22_Main_508_44_1_1,+3.55117E-11,+7.47354E-03
2_-2_POC22_Main_508_47_1_1,+5.69728E-11,+8.56842E-03
2_-2_POC22_Main_508_88F_1_1,+1.23738E-10,+1.53742E-02
2_-2_POC22_Main_762_77_1_1,+2.21293E-10,+2.76340E-02
2_-2_POC22_Main_762_99F_1_1,+3.57553E-10,+3.48575E-02
2_-3_POC22_Main_381_77F_1_1,+5.28442E-11,+9.57121E-03
2_-3_POC22_Main_508_44_1_1,+3.52828E-11,+7.49789E-03
2_-3_POC22_Main_508_47_1_1,+5.69396E-11,+9.37418E-03
2_-3_POC22_Main_508_88F_1_1,+1.22434E-10,+1.56528E-02
2_-3_POC22_Main_762_77_1_1,+2.18995E-10,+2.80235E-02
2_-3_POC22_Main_762_99F_1_1,+3.54241E-10,+5.18399E-02
2_0_POC22_Main_381_77F_1_1,+5.36726E-11,+1.14939E-02
2_0_POC22_Main_508_44_1_1,+3.56822E-11,+7.13155E-03
2_0_POC22_Main_508_47_1_1,+5.74080E-11,+9.08675E-03
2_0_POC22_Main_508_88F_1_1,+1.24632E-10,+2.34987E-02
2_0_POC22_Main_762_77_1_1,+2.22072E-10,+4.41900E-02
2_0_POC22_Main_762_99F_1_1,+3.59810E-10,+4.98502E-02
2_1_POC22_Main_381_77F_1_1,+5.34846E-11,+1.19120E-02
2_1_POC22_Main_508_44_1_1,+3.57344E-11,+9.00759E-03
2_1_POC22_Main_508_47_1_1,+5.76355E-11,+1.29401E-02
2_1_POC22_Main_508_88F_1_1,+1.24788E-10,+2.37395E-02
2_1_POC22_Main_762_77_1_1,+2.21793E-10,+3.83056E-02
2_1_POC22_Main_762_99F_1_1,+3.62144E-10,+4.92353E-02
2_2_POC22_Main_381_77F_1_1,+5.36439E-11,+1.00764E-02
2_2_POC22_Main_508_44_1_1,+3.56540E-11,+1.00394E-02
2_2_POC22_Main_508_47_1_1,+5.75250E-11,+1.03422E-02
2_2_POC22_Main_508_88F_1_1,+1.24710E-10,+1.73132E-02
2_2_POC22_Main_762_77_1_1,+2.23297E-10,+3.74325E-02
2_2_POC22_Main_762_99F_1_1,+3.64198E-10,+7.03809E-02
2_3_POC22_Main_381_77F_1_1,+5.37906E-11,+1.11545E-02
2_3_POC22_Main_508_44_1_1,+3.56898E-11,+8.38796E-03
2_3_POC22_Main_508_47_1_1,+5.75954E-11,+1.24914E-02
2_3_POC22_Main_508_88F_1_1,+1.25190E-10,+1.60960E-02
2_3_POC22_Main_762_77_1_1,+2.24573E-10,+2.98912E-02
2_3_POC22_Main_762_99F_1_1,+3.69130E-10,+6.98454E-02
3_-1_POC22_Main_381_77F_1_1,+5.29407E-11,+1.24580E-02
3_-1_POC22_Main_508_44_1_1,+3.53586E-11,+8.84323E-03
3_-1_POC22_Main_508_47_1_1,+5.71163E-11,+9.31029E-03
3_-1_POC22_Main_508_88F_1_1,+1.23335E-10,+1.41512E-02
3_-1_POC22_Main_762_77_1_1,+2.19398E-10,+3.40923E-02
3_-1_POC22_Main_762_99F_1_1,+3.54858E-10,+4.73998E-02
3_-2_POC22_Main_381_77F_1_1,+5.30117E-11,+9.85446E-03
3_-2_POC22_Main_508_44_1_1,+3.53347E-11,+8.40587E-03
3_-2_POC22_Main_508_47_1_1,+5.70366E-11,+1.07142E-02
3_-2_POC22_Main_508_88F_1_1,+1.23002E-10,+1.70137E-02
3_-2_POC22_Main_762_77_1_1,+2.19400E-10,+2.13916E-02
3_-2_POC22_Main_762_99F_1_1,+3.55627E-10,+3.85276E-02
3_0_POC22_Main_381_77F_1_1,+5.28740E-11,+5.58523E-02
3_0_POC22_Main_508_44_1_1,+3.53307E-11,+8.94312E-03
3_0_POC22_Main_508_47_1_1,+5.69830E-11,+1.06182E-02
3_0_POC22_Main_508_88F_1_1,+1.23032E-10,+1.77253E-02
3_0_POC22_Main_762_77_1_1,+2.19528E-10,+4.77343E-02
3_0_POC22_Main_762_99F_1_1,+3.55806E-10,+3.84150E-02
3_1_POC22_Main_381_77F_1_1,+5.30563E-11,+1.43116E-02
3_1_POC22_Main_508_44_1_1,+3.54411E-11,+8.61475E-03
3_1_POC22_Main_508_47_1_1,+5.70572E-11,+9.60177E-03
3_1_POC22_Main_508_88F_1_1,+1.23190E-10,+1.80844E-02
3_1_POC22_Main_762_77_1_1,+2.18896E-10,+6.79368E-02
3_1_POC22_Main_762_99F_1_1,+3.55830E-10,+3.35087E-02
3_2_POC22_Main_381_77F_1_1,+5.32618E-11,+1.03535E-02
3_2_POC22_Main_508_44_1_1,+3.54565E-11,+9.25150E-03
3_2_POC22_Main_508_47_1_1,+5.73451E-11,+1.29295E-02
3_2_POC22_Main_508_88F_1_1,+1.23968E-10,+1.75737E-02
3_2_POC22_Main_762_77_1_1,+2.22378E-10,+2.89243E-02
3_2_POC22_Main_762_99F_1_1,+3.65938E-10,+3.64496E-02
4_0_POC22_Main_381_77F_1_1,+5.24203E-11,+2.32902E-02
4_0_POC22_Main_508_44_1_1,+3.51219E-11,+7.48650E-03
4_0_POC22_Main_508_47_1_1,+5.67258E-11,+1.19291E-02
4_0_POC22_Main_508_88F_1_1,+1.21962E-10,+1.80971E-02
4_0_POC22_Main_762_77_1_1,+2.17271E-10,+2.88299E-02
4_0_POC22_Main_762_99F_1_1,+3.53027E-10,+5.33726E-02
